channel	video_id	title
Alien Jon	Ran5bl6dF78	Class Notes: Flow Temple Class, Poi-2, week #1 - 01-10-2010
Alien Jon	xaIgJrMtPPY	Alien Jon Poi: nano-Tech Blog fire: Spherecamp 2009 fire stage
Alien Jon	j4VuEEss8Rg	Even more Teahouse Holiday Fun 2009
Alien Jon	e3eG5z-1lL8	Teahouse Holiday Fun 2009
Alien Jon	MPDFgDl1kew	Alien Jon Poi: nano-Tech Blog 5: Variations on Mieneye's pattern
Alien Jon	E3FYd7rUIu0	Alien Jon Poi: nano-Tech Blog 4: antispin weave variations
Alien Jon	dh2ArnFOy1k	Alien Jon Poi: nano-Tech Blog 3: Isolation transitions between inspin & antispin
Alien Jon	Ix7PQ0iQfTQ	Alien Jon Poi: nano-Tech Blog 2: Reviewing some older concepts, adding a new twist
Alien Jon	QZQlpk6OZ48	Alien Jon Poi: nano-Tech Blog 1: twisting & untwisting the body between 2 flower planes
Alien Jon	3ADVOYOgdcg	Trailer: Encyclo-Poi-dia volume 2 DVD
Alien Jon	YtpFjY21ifA	Burning dan and Alien Jon - neon partner spirals
Alien Jon	VBzD7OSVnwE	Hybrid Flower: 4-ptal antispin VS 2-petal inspin (For Max)
Alien Jon	RN9W_9_2EaE	3-beat CAP hand opposite poi split-same
Alien Jon	pWMgd-B3H8A	For Cyrille - different timing
Alien Jon	mpflK5qTRdY	For Cyrille - Challenging timing - hands together, poi same-split-time
Alien Jon	Q8Sux5fY39I	C.A.P. - half circle- hand offset poi opposite
Alien Jon	vQRsC0ptIqk	C.A.P. - half circle - hands offset poi same
Alien Jon	hW4hisA0MmQ	C.A.P. - half circle - hands opposite poi same
Alien Jon	ZqPQbsGU62s	C.A.P. - half circle - hand together poi opposite
Alien Jon	UJtTngWpQ_g	C.A.P. - half circle - hands opposite poi opposite
Alien Jon	HJBjY38DL6c	C.A.P. - Half Circle - 4-petal antispin and Extension
Alien Jon	n9IvfVX7HYg	Longarm VS trefoil (AKA Mercedes or triquetra)
Alien Jon	CSSLwXIOuFk	Trammel harmonics for staff and other spinning props
Alien Jon	mrHqA-NFi6U	For Nevisoul - isolation vs trefoil - hands together timing
Alien Jon	lHxxSHWodJI	For Nevisoul - isolation vs trifoil - hand follows head
Alien Jon	jnb50kda_QM	Vertical vs horizontal cateyes
Alien Jon	ySpoltc9a6U	Poi Head Orbit - 3-petal antispin
Alien Jon	Bwf7bLRXBLU	Vertical cateye vs isolation: hands together same-time
Alien Jon	sWEYfg00jqo	Vertical cateye vs isolation: hand follows poi head
Alien Jon	nOlCZMFIBMI	Unit Circle Grid
Alien Jon	YpNfW9lKCQc	Horizontal Linear Isolations - vertically separated butterfly
Alien Jon	CJmLBQcjGUc	Ellipse - Linear Extension
Alien Jon	NYs8pV860w4	Ellipse - Trammel
Alien Jon	uggNoLvJnIw	Cateye - Antispin Ellipse
Alien Jon	JCHT7LEOrao	Pendulum - poi head circle
Alien Jon	eZbmZHebhlY	Pendulum - Linear Isolation
Alien Jon	2CDjvc9N1Qk	Expanded Linear Isolation
Alien Jon	mGnWibLv0j0	Linear Isolation
Alien Jon	aWw8oe5DACg	Unit Circle Hybrids
Alien Jon	-KtDx3_FavU	Put these through your buzzsaw Baz!
Alien Jon	iHj82hp1zUg	Pendulum vs Linear isolation Composite
Alien Jon	aInI5kUToXc	2B Hybrid - Pendulem Pingpong
Alien Jon	_uYm2-qwKcI	Alien LAB - Beta version 0.1
Alien Jon	xk2a5W6f5Xc	3-beat Weave animation test
Alien Jon	RnXkqF0XbI0	Minimal Rig test: Some Split-Same 1:3 Flowers.
Alien Jon	DsWvgyZoNE8	Camera test - split-same barrelroll poi-lead vs poi-lead
Lorq Nichols	zA9i5cBikIY	40 FLOWERS POSTER VIDEO
Lorq Nichols	0S8eSD_OwsI	Greg Haskins and Russell Megowan at UFG 2016
Lorq Nichols	C5IbY95czzk	RIDE THE WAVE
Lorq Nichols	LWgC3TlxxkA	I MADE A THING (Now You Steal It)
Lorq Nichols	QCp0OFqgX5U	JUST A CLUBCONGRESS THING
Lorq Nichols	djWWcuzBZDk	THAT TETHER CONTACT FLOW
Lorq Nichols	KuIH7gRO5qY	GUNSLINGER GLOW JAM
Lorq Nichols	MIxKduiojz0	GUNSLINGER FLOWERS
Lorq Nichols	ejXGpXeC524	HAPPY CLUB - Club Tech Collaboration 2014
Lorq Nichols	pJaXjVfYGJA	HIGH TECH (Poi)
Lorq Nichols	VztNLG1RE_4	LAZY TO FORWARD SWING
Lorq Nichols	zWkF3vHx2hs	DOUBLE GUNSLINGER WEAVES
Lorq Nichols	pT5nSli1YfY	SPIN ALL THE JUGGLES
Lorq Nichols	UsACwLeU0aw	TETHER + CONTACT (FLOW)
Lorq Nichols	937Y7cyQibY	CLUBSLINGER FLOWERS
Lorq Nichols	jS8IrY0CLWA	REVERSE CLUBSLINGER (Reverse Sam's Trick)
Lorq Nichols	ggmr78fqRs0	LORQ:TECH #57: FISHTAIL MADNESS!
Lorq Nichols	H_t4Thw95iU	LORQ:TECH #56 ~ Fishtail Patterns with 3 Clubs ~
Lorq Nichols	Brq-JKEGZ0g	XYZ Triads
Lorq Nichols	T6J0IhR9c34	LORQ:TECH #54: ~IsoSnake (Back of Hand) Grip!!
Lorq Nichols	158vABIOxfo	LORQ at PJF (Portland Juggling Festival)
Lorq Nichols	CkkSP9Awg9M	LORQ NICHOLS: ~Contact Juggling at OCF~
Lorq Nichols	aGAHTBdREuY	LORQ:TECH #53: ~ Gunslinger Weaves and Reels ~
Lorq Nichols	jvqbnT2C4Qc	LORQ:TECH #52 ~ Mikke Chalmers "Hello World" ~ (No Music)
Lorq Nichols	oAKDJmWK1wk	LORQ:TECH 52: ~ Mikke Chalmers "Hello World" ~
Lorq Nichols	rhppkILnfHM	LORQ:TECH #51: ~Fittin' In The Footwork~
Lorq Nichols	5tvN9zW1OG4	LORQ:TECH #50: ~ Another Toroid Snack ~
Lorq Nichols	qxrE9ASBSNE	LORQ:TECH #49: ~Fishtail vs. Gunslinger Wrist-Wrap~
Lorq Nichols	4QzwIhICm_4	LORQ:TECH #48: ~Tether and Throws Flow 2~
Lorq Nichols	75N77Rk58uI	LORQ:TECH #47: ~Tether and Throws Flow~
Lorq Nichols	Oxyj0o_h_U0	TUTORIAL: ~Gunslinger Wrist-Wraps~
Lorq Nichols	QotiGOdVqOw	LORQ:TECH #46: ~Gunslinger Wrist-Wraps~
Lorq Nichols	Dohx2Gr7fuU	LORQ:TECH #45: ~Isolation vs. Vertical Cateye (2 Hoops 1 Hand)~
Lorq Nichols	t2R2hUbT-wc	RANDY (and Lorq) @ Spin In A Prop Gathering
Lorq Nichols	hMp9VJMkJA0	LORQ:FLOW #11: ~Fire Torch Isolations/Wiggles~ @ SPIN IN
Lorq Nichols	w5snMoPPxbU	SAMWISE Fire Poi @ Spin In A Prop Gathering
Lorq Nichols	X_8mD9QL9QI	FIRE TRAIN @ Spin In A Prop Gathering
Lorq Nichols	ZmL3nLiWYeg	LORQ:TECH #44: ~Arm Circle Throws~
Lorq Nichols	ucaWEcjPHnE	LORQ:FLOW #10: ~Paid To Practice (Dance)~
Lorq Nichols	l1wmyEjfEQA	LORQ:TECH #43: ~Paid To Practice (POI)~
Lorq Nichols	CZQvfs5263o	LORQ:TECH #42: ~Tether Contact Rolls (One-Poi-Two-Hands)~
Lorq Nichols	Jc6MnYXwlfI	LORQ:FLOW #9: ~Glow Trails Flow Jam~
Lorq Nichols	DufvXWzUctA	LORQ:TECH #41 ~9 Flower Families! (with Trails)~
Lorq Nichols	RbH5WcKnfAk	Plane-Bending Tutorial: ~8 Basic Bends~
Lorq Nichols	5u6gp_3r7nw	CLUB TECH COLLABORATION 2013
Lorq Nichols	X7fT_UMRRJ8	LORQ:TECH #40 ~TOROID HYBRIDS: ANTIBEND VS. ISOBEND~
Lorq Nichols	XpqcbTL87TU	LORQ:TECH #39: ~SAMURAI FLOW and STRING MANIPS~
Lorq Nichols	qW0lFrWIOJ4	LORQ:TECH #38: ~SILLY TOROIDS~
Lorq Nichols	fDKCjNlRfqc	LORQ:TECH #37: ~BOX TRANSITIONS~
Lorq Nichols	54vBAnbPIRA	LORQ:TECH #36: ~I Know What You Did Last Season (POI)~
